"author","quote"
"Albert Einstein","Life is like riding a bicycle."
"Mark Twain","The secret of getting ahead is getting started."
"Oscar Wilde","Be yourself; everyone else is already taken."
"Mahatma Gandhi","Live as if you were to die tomorrow."
"Robert Frost","In three words I can sum up everything I've learned about life: it goes on."
"Maya Angelou","Try to be a rainbow in someone's cloud."
"Confucius","It does not matter how slowly you go as long as you do not stop."
"Ralph Waldo Emerson","To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment."
"William Shakespeare","We know what we are, but know not what we may be."
"Mother Teresa","Spread love everywhere you go."
"Martin Luther King Jr.","Injustice anywhere is a threat to justice everywhere."
"John Lennon","Life is what happens when you're busy making other plans."
"Oscar Wilde","Always forgive your enemies; nothing annoys them so much."
"Mahatma Gandhi","The future depends on what you do today."
"Mark Twain","The two most important days in your life are the day you are born and the day you find out why."
"Albert Einstein","Imagination is more important than knowledge."
"Dr. Seuss","You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose."
"Oscar Wilde","To live is the rarest thing in the world. Most people exist, that is all."
"Maya Angelou","I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel."
"Confucius","Choose a job you love, and you will never have to work a day in your life."
"Ralph Waldo Emerson","The only way to do great work is to love what you do."
"William Shakespeare","Love all, trust a few, do wrong to none."
"Mother Teresa","Not all of us can do great things. But we can do small things with great love."
"Martin Luther King Jr.","Faith is taking the first step even when you don't see the whole staircase."